rule_key,phrase,author
bahaya_diri,ฆ่าตัวตาย,Somchai (TH Native)
bahaya_diri,ไม่อยากมีชีวิตอยู่,Somchai (TH Native)
bahaya_diri,ทำร้ายตัวเอง,Somchai (TH Native)
bahaya_diri,อยากตาย,Somchai (TH Native)
akun_terkunci,บัญชีถูกล็อค,Somchai (TH Native)
akun_terkunci,เข้าเกมไม่ได้,Somchai (TH Native)
akun_terkunci,โดนแฮก,Somchai (TH Native)
akun_terkunci,ลืมรหัสผ่าน,Somchai (TH Native)
akun_terkunci,ถูกระงับ,Somchai (TH Native)
refund,ขอคืนเงิน,Somchai (TH Native)
refund,คืนเงิน,Somchai (TH Native)
refund,ขอเงินคืน,Somchai (TH Native)
refund,refund,Somchai (TH Native)
banding_banned,ปลดแบน,Somchai (TH Native)
banding_banned,อุทธรณ์การแบน,Somchai (TH Native)
banding_banned,โดนแบน,Somchai (TH Native)
pembelian_anak,ลูกกดซื้อ,Somchai (TH Native)
pembelian_anak,เด็กกดซื้อ,Somchai (TH Native)
pembelian_anak,เด็กกดโดยไม่ได้ตั้งใจ,Somchai (TH Native)
hukum_media,แจ้งความ,Somchai (TH Native)
hukum_media,ทนาย,Somchai (TH Native)
hukum_media,นักข่าว,Somchai (TH Native)
hukum_media,สื่อ,Somchai (TH Native)
minta_manusia,คุยกับคน,Somchai (TH Native)
minta_manusia,เจ้าหน้าที่คนจริง,Somchai (TH Native)
minta_manusia,แอดมินคน,Somchai (TH Native)
minta_manusia,ขอสายเจ้าหน้าที่,Somchai (TH Native)
minta_manusia,ไม่อยากคุยกับบอท,Somchai (TH Native)
frustrasi,เกมห่วย,Somchai (TH Native)
frustrasi,บริการแย่มาก,Somchai (TH Native)
frustrasi,โกง,Somchai (TH Native)
no_promise,จะคืนเงินให้แน่นอน,Somchai (TH Native)
no_promise,จะปลดแบนให้แน่นอน,Somchai (TH Native)
