rule_key,phrase,author
bahaya_diri,tự tử,Nguyen (VN Native)
bahaya_diri,tự hại,Nguyen (VN Native)
bahaya_diri,không muốn sống nữa,Nguyen (VN Native)
bahaya_diri,muốn chết,Nguyen (VN Native)
akun_terkunci,tài khoản bị khóa,Nguyen (VN Native)
akun_terkunci,bị hack,Nguyen (VN Native)
akun_terkunci,không đăng nhập được,Nguyen (VN Native)
akun_terkunci,mất mật khẩu,Nguyen (VN Native)
refund,hoàn tiền,Nguyen (VN Native)
refund,lấy lại tiền,Nguyen (VN Native)
refund,đòi lại tiền,Nguyen (VN Native)
refund,refund,Nguyen (VN Native)
banding_banned,mở khóa tài khoản,Nguyen (VN Native)
banding_banned,kháng cáo ban,Nguyen (VN Native)
banding_banned,bị ban oan,Nguyen (VN Native)
pembelian_anak,trẻ em mua nhầm,Nguyen (VN Native)
pembelian_anak,con tôi mua,Nguyen (VN Native)
pembelian_anak,trẻ con tự ý mua,Nguyen (VN Native)
hukum_media,báo công an,Nguyen (VN Native)
hukum_media,luật sư,Nguyen (VN Native)
hukum_media,kiện ra tòa,Nguyen (VN Native)
hukum_media,báo chí,Nguyen (VN Native)
minta_manusia,gặp người thật,Nguyen (VN Native)
minta_manusia,nói chuyện với nhân viên,Nguyen (VN Native)
minta_manusia,chuyển sang nhân viên,Nguyen (VN Native)
minta_manusia,kết nối tổng đài viên,Nguyen (VN Native)
minta_manusia,không muốn nói với bot,Nguyen (VN Native)
frustrasi,game rác,Nguyen (VN Native)
frustrasi,lừa đảo,Nguyen (VN Native)
frustrasi,dịch vụ quá tệ,Nguyen (VN Native)
no_promise,chắc chắn sẽ hoàn tiền,Nguyen (VN Native)
no_promise,cam kết mở khóa tài khoản,Nguyen (VN Native)
