rule_key,phrase,author
bahaya_diri,magpakamatay,Maria (PH Native)
bahaya_diri,saktan ang sarili,Maria (PH Native)
bahaya_diri,ayaw ko nang mabuhay,Maria (PH Native)
bahaya_diri,gusto ko nang mamatay,Maria (PH Native)
akun_terkunci,naka-lock ang account,Maria (PH Native)
akun_terkunci,na-hack,Maria (PH Native)
akun_terkunci,hindi makapasok sa account,Maria (PH Native)
akun_terkunci,nakalimutan ang password,Maria (PH Native)
refund,ibalik ang pera,Maria (PH Native)
refund,refund,Maria (PH Native)
refund,bawiin ang bayad,Maria (PH Native)
refund,money back,Maria (PH Native)
banding_banned,i-unban,Maria (PH Native)
banding_banned,apela sa ban,Maria (PH Native)
banding_banned,tanggalin ang ban,Maria (PH Native)
pembelian_anak,nabili ng bata,Maria (PH Native)
pembelian_anak,anak ko ang bumili,Maria (PH Native)
pembelian_anak,aksidenteng nabili ng anak,Maria (PH Native)
hukum_media,pulis,Maria (PH Native)
hukum_media,abogado,Maria (PH Native)
hukum_media,ipapa-tulfo,Maria (PH Native)
hukum_media,kakalat ko sa media,Maria (PH Native)
minta_manusia,gusto ko ng tao,Maria (PH Native)
minta_manusia,kausapin ang agent,Maria (PH Native)
minta_manusia,totoong tao naman,Maria (PH Native)
minta_manusia,makausap ang live support,Maria (PH Native)
minta_manusia,ayaw ko sa bot,Maria (PH Native)
frustrasi,scammer kayo,Maria (PH Native)
frustrasi,bulok ang serbisyo,Maria (PH Native)
frustrasi,nakakainis,Maria (PH Native)
no_promise,ipapangako ang refund,Maria (PH Native)
no_promise,tiyak na ma-uunban,Maria (PH Native)
